year,global_avg_temp,city_avg_temp
1996,9.04,13.16
1997,9.20,16.93
1997,9.20,13.66
1998,9.52,15.37
1998,9.52,13.19
1999,9.29,16.12
1999,9.29,13.24
2000,9.20,16.64
2000,9.20,12.99
2001,9.41,16.47
2001,9.41,13.16
2002,9.57,16.43
2002,9.57,12.95
2003,9.53,16.94
2003,9.53,13.24
2004,9.32,16.55
2004,9.32,13.44
2005,9.70,16.43
2005,9.70,13.06
2006,9.53,16.62
2006,9.53,13.19
2007,9.73,16.70
2007,9.73,12.31
2008,9.43,17.01
2008,9.43,13.69
2009,9.51,16.68
2009,9.51,13.04
2010,9.70,15.89
2010,9.70,12.69
2011,9.52,15.87
2011,9.52,13.25
2012,9.51,17.09
2012,9.51,13.48
2013,9.61,18.12
2013,9.61,13.07
